player_name,player_position,player_team,player_salary
mindaugaskuzminskas, F,New York Knicks,2898000
dewaynededmon, C,San Antonio Spurs,2898000
tomassatoransky, SG,Washington Wizards,2870813
noahvonleh, PF,Portland Trail Blazers,2751360
frankkaminsky, C,Charlotte Hornets,2730000
dennisschroder, PG,Atlanta Hawks,2708582
jakobpoeltl, C,Toronto Raptors,2703960
aaronbrooks, PG,Indiana Pacers,2700000
elfridpayton, PG,Orlando Magic,2613600
justisewinslow, SF,Miami Heat,2593440
thonmaker, PF,Milwaukee Bucks,2568600
randyfoye, SG,Brooklyn Nets,2500000
malcolmdelaney, G,Atlanta Hawks,2500000
dougmcdermott, SF,Oklahoma City Thunder,2483040
mylesturner, C,Indiana Pacers,2463840
domantassabonis, PF,Oklahoma City Thunder,2440200
shelvinmack, PG,Utah Jazz,2433334
tonysnell, SF,Milwaukee Bucks,2368327
gorguidieng, PF,Minnesota Timberwolves,2348783
treylyles, PF,Utah Jazz,2340600
masonplumlee, C,Portland Trail Blazers,2328530
dariosaric, SF,Philadelphia 76ers,2318280
taureanprince, SF,Atlanta Hawks,2318280
timhardawayjr, SG,Atlanta Hawks,2281605
reggiebullock, SF,Detroit Pistons,2255644
zachlavine, PG,Minnesota Timberwolves,2240880
devinbooker, SG,Phoenix Suns,2223600
lucmbahamoute, PF,LA Clippers,2203000
georgiospapagiannis, C,Sacramento Kings,2202240
mowilliams, PG,Denver Nuggets,2194500
andreroberson, SG,Oklahoma City Thunder,2183072
joeingles, SF,Utah Jazz,2150000
tjwarren, SF,Phoenix Suns,2128920
rudygobert, C,Utah Jazz,2121288
cameronpayne, PG,Oklahoma City Thunder,2112480
denzelvalentine, SG,Chicago Bulls,2092200
timfrazier, PG,New Orleans Pelicans,2090000
kendallmarshall, PG,Utah Jazz,2048257
adreianpayne, PF,Minnesota Timberwolves,2022240
kellyoubrejr, SF,Washington Wizards,2006640
juanhernangomez, PF,Denver Nuggets,1987440
lucasnogueira, C,Toronto Raptors,1921320
jusufnurkic, C,Portland Trail Blazers,1921320
terryrozier, PG,Boston Celtics,1906440
jamesyoung, SG,Boston Celtics,1825200
rashadvaughn, SG,Milwaukee Bucks,1811040
kevinseraphin, C,Indiana Pacers,1800000
wadebaldwiniv, PG,Memphis Grizzlies,1793760
quincyacy, SF,Brooklyn Nets,1790092
tylerennis, PG,Los Angeles Lakers,1733880
samdekker, SF,Houston Rockets,1720560
joffreylauvergne, C,Oklahoma City Thunder,1709719
henryellenson, F,Detroit Pistons,1704120
garyharris, SG,Denver Nuggets,1655880
jeriangrant, PG,Chicago Bulls,1643040
malikbeasley, SG,Denver Nuggets,1627320
brunocaboclo, SF,Toronto Raptors,1589640
delonwright, PG,Toronto Raptors,1577280
carislevert, SG,Brooklyn Nets,1562280
davidlee, PF,San Antonio Spurs,1551659
caronbutler, SF,Sacramento Kings,1551659
mitchmcgary, PF,Oklahoma City Thunder,1526040
justinanderson, SG,Philadelphia 76ers,1514160
marcelohuertas, PG,Los Angeles Lakers,1500000
deandre'bembry, SF,Atlanta Hawks,1499760
jordanadams, SG,Memphis Grizzlies,1465080
bobbyportis, PF,Chicago Bulls,1453680
demetriusjackson, G,Boston Celtics,1450000
malachirichardson, SG,Sacramento Kings,1439800
rodneyhood, SG,Utah Jazz,1406520
marreesespeights, C,LA Clippers,1403611
michaelbeasley, SF,Milwaukee Bucks,1403611
javalemcgee, C,Golden State Warriors,1403611
rondaehollisjefferson, SG,Brooklyn Nets,1395600
deyontadavis, F,Memphis Grizzlies,1369299
nikolajokic, C,Denver Nuggets,1358500
deandreliggins, SG,LA Clippers,1577230
archiegoodwin, SG,Brooklyn Nets,1577230
ryankelly, PF,Atlanta Hawks,1577230
troywilliams, SF,Houston Rockets,1575133
deandre'bembry, SF,Atlanta Hawks,1567200
caronbutler, SF,Sacramento Kings,1551659
mitchmcgary, PF,Oklahoma City Thunder,1526040
seankilpatrick, SG,Brooklyn Nets,1524305
johnnyo'bryantiii, PF,Charlotte Hornets,1524305
joffreylauvergne, C,San Antonio Spurs,1524305
glennrobinsoniii, SG,Indiana Pacers,1524305
bobbyportis, PF,Chicago Bulls,1516320
malachirichardson, SG,Sacramento Kings,1504560
marcelohuertas, PG,Houston Rockets,1500000
jarellmartin, PF,Memphis Grizzlies,1471382
mariochalmers, PG,Memphis Grizzlies,1471382
brianteweber, PG,Charlotte Hornets,1471382
tyusjones, PG,Minnesota Timberwolves,1471382
rakeemchristmas, PF,Indiana Pacers,1471382
joshrichardson, SG,Miami Heat,1471382
patconnaughton, SG,Portland Trail Blazers,1471382
jordanmickey, PF,Boston Celtics,1471382
calebswanigan, PF,Portland Trail Blazers,1465920
furkankorkmaz, SG,Philadelphia 76ers,1465920
jordanadams, SG,Memphis Grizzlies,1465080
willyhernangomez, C,New York Knicks,1435750
kylekuzma, PF,Los Angeles Lakers,1423560
tonybradley, C,Utah Jazz,1414920
derrickwhite, PG,San Antonio Spurs,1404600
joshhart, SG,Los Angeles Lakers,1394520
timotheluwawucabarrot, SG,Philadelphia 76ers,1386600
demetriusjackson, G,Boston Celtics,1384750
guillermohernangomez, C,New York Knicks,1350000
sashakaun, C,Philadelphia 76ers,1333240
bricejohnson, F,LA Clippers,1331160
andrewharrison, PG,Memphis Grizzlies,1312611
wayneselden, G,Memphis Grizzlies,1312611
deyontadavis, F,Memphis Grizzlies,1312611
fredvanvleet, PG,Toronto Raptors,1312611
treveongraham, SG,Charlotte Hornets,1312611
dejountemurray, G,San Antonio Spurs,1312611
brynforbes, SG,San Antonio Spurs,1312611
jakelayman, F,Portland Trail Blazers,1312611
chassonrandle, PG,New York Knicks,1312611
marshallplumlee, C,New York Knicks,1312611
diamondstone, C,Atlanta Hawks,1312611
semiojeleye, PF,Boston Celtics,1291892
jeremyevans, SF,Indiana Pacers,1227286
cjwilcox, SG,Orlando Magic,1209600
liviojeancharles, SF,San Antonio Spurs,1188840
frankmasoniii, PG,Sacramento Kings,1184385
abdelnader, SF,Boston Celtics,1167333
tonywroten, SG,Memphis Grizzlies,1050961
chrisjohnson, SF,Utah Jazz,1050961
johnjenkins, SG,Phoenix Suns,1050961
andrewgoudelock, PG,Houston Rockets,1015696
anthonybennett, PF,Brooklyn Nets,1015696
lorenzobrown, PG,Detroit Pistons,1015696
isaiahcanaan, PG,Chicago Bulls,1015696
jakarrsampson, SG,Memphis Grizzlies,980431
pabloprigioni, PG,Houston Rockets,980431
marcusthornton, SG,Brooklyn Nets,980431
devynmarble, SF,LA Clippers,980431
henrysims, C,Utah Jazz,980431
johnlucasiii, PG,Minnesota Timberwolves,980431
rasualbutler, SF,Minnesota Timberwolves,980431
jordanfarmar, PG,Sacramento Kings,980431
gregstiemsma, C,Portland Trail Blazers,980431
louamundson, PF,New York Knicks,980431
robbiehummel, SF,Denver Nuggets,980431
willbynum, PG,Atlanta Hawks,980431
radezagorac, SG,Memphis Grizzlies,950000
ikeanigbogu, C,Indiana Pacers,950000
reggiewilliams, SF,New Orleans Pelicans,895197
djstephens, SG,Memphis Grizzlies,874636
djkennedy, SG,Memphis Grizzlies,874636
cliffalexander, PF,Orlando Magic,874636
nickjohnson, SG,Orlando Magic,874636
kevinmurphy, SG,Orlando Magic,874636
casperware, PG,Washington Wizards,874636
jjo'brien, SF,Milwaukee Bucks,874636
aaronharrison, SG,Charlotte Hornets,874636
christianwood, PF,Charlotte Hornets,874636
dujedukan, PF,Sacramento Kings,874636
grantjerrett, PF,Portland Trail Blazers,874636
traviswear, SF,Los Angeles Lakers,874636
johnholland, SG,Cleveland Cavaliers,874636
rjhunter, SG,Chicago Bulls,864346
cameronoliver, PF,Houston Rockets,815615
zhouqi, PF,Houston Rockets,815615
sterlingbrown, G,Milwaukee Bucks,815615
dwaynebacon, SG,Charlotte Hornets,815615
brandonpaul, SG,San Antonio Spurs,815615
davonreed, SG,Phoenix Suns,815615
maximiliankleber, F,Dallas Mavericks,815615
danieltheis, PF,Boston Celtics,815615
tylerdorsey, SG,Atlanta Hawks,815615
mattcostello, SF,San Antonio Spurs,543471
vincehunter, SF,Memphis Grizzlies,543471
scottwood, SG,Golden State Warriors,543471
egidijusmockevicius, PF,Brooklyn Nets,543471
rasheedsulaimon, G,Charlotte Hornets,543471
andrewandrews, G,Charlotte Hornets,543471
ejsingler, SF,Toronto Raptors,543471
drewcrawford, SG,Toronto Raptors,543471
isaiahcousins, PG,Sacramento Kings,543471
julianjacobs, PG,Los Angeles Lakers,543471
jptokoto, SG,New York Knicks,543471
mauricendour, SF,New York Knicks,543471
thomaswalkup, SG,Chicago Bulls,543471
jalenjones, SF,Boston Celtics,543471
richardsolomon, PF,Atlanta Hawks,543471
jonathangibson, PG,Dallas Mavericks,469943
toneydouglas, PG,Memphis Grizzlies,379159
lamarpatterson, SG,Atlanta Hawks,246956
andrewbogut, C,Cleveland Cavaliers,242224
larrysanders, PF,Cleveland Cavaliers,207722
raymccallum, PG,Charlotte Hornets,121112
mannyharris, PG,Dallas Mavericks,115344
miketobey, C,Charlotte Hornets,67135
anthonybrown, SF,Orlando Magic,57672
justinharper, PF,Philadelphia 76ers,57672
jarelleddie, SG,Phoenix Suns,57672
alonzogee, SF,Denver Nuggets,57672
jarrettjack, PG,New Orleans Pelicans,57672
pierrejackson,PG,Dallas Mavericks,31969
kevindurant,SF,Golden State Warriors,26500000
jamesharden,PG,Houston Rockets,26500000
russellwestbrook,PG,Oklahoma City Thunder,26500000
