NAME,POSITION,TEAM,SALARY
CJ McCollum, SG,Portland Trail Blazers,3219579
Jamal Murray, G,Denver Nuggets,3210840
Michael Carter-Williams, PG,Chicago Bulls,3183526
Steven Adams, C,Oklahoma City Thunder,3140517
Kelly Olynyk, C,Boston Celtics,3094014
Shabazz Muhammad, SF,Minnesota Timberwolves,3046299
Justin Hamilton, C,Brooklyn Nets,3000000
Tibor Pleiss, C,Philadelphia 76ers,3000000
Giannis Antetokounmpo, SF,Milwaukee Bucks,2995421
Nik Stauskas, SG,Philadelphia 76ers,2993040
Dante Cunningham, PF,New Orleans Pelicans,2978250
Stanley Johnson, SF,Detroit Pistons,2969880
Marquese Chriss, F,Phoenix Suns,2941440
Dion Waiters, SG,Miami Heat,2898000
James Ennis III, SF,Memphis Grizzlies,2898000
Nene Hilario, C,Houston Rockets,2898000
Mindaugas Kuzminskas, F,New York Knicks,2898000
Dewayne Dedmon, C,San Antonio Spurs,2898000
Tomas Satoransky, SG,Washington Wizards,2870813
Noah Vonleh, PF,Portland Trail Blazers,2751360
Frank Kaminsky, C,Charlotte Hornets,2730000
Dennis Schroder, PG,Atlanta Hawks,2708582
Jakob Poeltl, C,Toronto Raptors,2703960
Aaron Brooks, PG,Indiana Pacers,2700000
Elfrid Payton, PG,Orlando Magic,2613600
Justise Winslow, SF,Miami Heat,2593440
Thon Maker, PF,Milwaukee Bucks,2568600
Randy Foye, SG,Brooklyn Nets,2500000
Malcolm Delaney, G,Atlanta Hawks,2500000
Doug McDermott, SF,Oklahoma City Thunder,2483040
Myles Turner, C,Indiana Pacers,2463840
Domantas Sabonis, PF,Oklahoma City Thunder,2440200
Shelvin Mack, PG,Utah Jazz,2433334
Tony Snell, SF,Milwaukee Bucks,2368327
Gorgui Dieng, PF,Minnesota Timberwolves,2348783
Trey Lyles, PF,Utah Jazz,2340600
Mason Plumlee, C,Portland Trail Blazers,2328530
Dario Saric, SF,Philadelphia 76ers,2318280
Taurean Prince, SF,Atlanta Hawks,2318280
Tim Hardaway Jr., SG,Atlanta Hawks,2281605
Reggie Bullock, SF,Detroit Pistons,2255644
Zach LaVine, PG,Minnesota Timberwolves,2240880
Devin Booker, SG,Phoenix Suns,2223600
Luc Mbah a Moute, PF,LA Clippers,2203000
Georgios Papagiannis, C,Sacramento Kings,2202240
Mo Williams, PG,Denver Nuggets,2194500
Andre Roberson, SG,Oklahoma City Thunder,2183072
Joe Ingles, SF,Utah Jazz,2150000
TJ Warren, SF,Phoenix Suns,2128920
Rudy Gobert, C,Utah Jazz,2121288
Cameron Payne, PG,Oklahoma City Thunder,2112480
Denzel Valentine, SG,Chicago Bulls,2092200
Tim Frazier, PG,New Orleans Pelicans,2090000
Kendall Marshall, PG,Utah Jazz,2048257
Adreian Payne, PF,Minnesota Timberwolves,2022240
Kelly Oubre Jr., SF,Washington Wizards,2006640
Juan Hernangomez, PF,Denver Nuggets,1987440
Lucas Nogueira, C,Toronto Raptors,1921320
Jusuf Nurkic, C,Portland Trail Blazers,1921320
Terry Rozier, PG,Boston Celtics,1906440
James Young, SG,Boston Celtics,1825200
Rashad Vaughn, SG,Milwaukee Bucks,1811040
Kevin Seraphin, C,Indiana Pacers,1800000
Wade Baldwin IV, PG,Memphis Grizzlies,1793760
Quincy Acy, SF,Brooklyn Nets,1790092
Tyler Ennis, PG,Los Angeles Lakers,1733880
Sam Dekker, SF,Houston Rockets,1720560
Joffrey Lauvergne, C,Oklahoma City Thunder,1709719
Henry Ellenson, F,Detroit Pistons,1704120
Gary Harris, SG,Denver Nuggets,1655880
Jerian Grant, PG,Chicago Bulls,1643040
Malik Beasley, SG,Denver Nuggets,1627320
Bruno Caboclo, SF,Toronto Raptors,1589640
Delon Wright, PG,Toronto Raptors,1577280
Caris LeVert, SG,Brooklyn Nets,1562280
David Lee, PF,San Antonio Spurs,1551659
Caron Butler, SF,Sacramento Kings,1551659
Mitch McGary, PF,Oklahoma City Thunder,1526040
Justin Anderson, SG,Philadelphia 76ers,1514160
Marcelo Huertas, PG,Los Angeles Lakers,1500000
DeAndre' Bembry, SF,Atlanta Hawks,1499760
Jordan Adams, SG,Memphis Grizzlies,1465080
Bobby Portis, PF,Chicago Bulls,1453680
Demetrius Jackson, G,Boston Celtics,1450000
Malachi Richardson, SG,Sacramento Kings,1439800
Rodney Hood, SG,Utah Jazz,1406520
Marreese Speights, C,LA Clippers,1403611
Michael Beasley, SF,Milwaukee Bucks,1403611
JaVale McGee, C,Golden State Warriors,1403611
Rondae Hollis-Jefferson, SG,Brooklyn Nets,1395600
Deyonta Davis, F,Memphis Grizzlies,1369299
Nikola Jokic, C,Denver Nuggets,1358500
DeAndre Liggins, SG,LA Clippers,1577230
Archie Goodwin, SG,Brooklyn Nets,1577230
Ryan Kelly, PF,Atlanta Hawks,1577230
Troy Williams, SF,Houston Rockets,1575133
DeAndre' Bembry, SF,Atlanta Hawks,1567200
Caron Butler, SF,Sacramento Kings,1551659
Mitch McGary, PF,Oklahoma City Thunder,1526040
Sean Kilpatrick, SG,Brooklyn Nets,1524305
Johnny O'Bryant III, PF,Charlotte Hornets,1524305
Joffrey Lauvergne, C,San Antonio Spurs,1524305
Glenn Robinson III, SG,Indiana Pacers,1524305
Bobby Portis, PF,Chicago Bulls,1516320
Malachi Richardson, SG,Sacramento Kings,1504560
Marcelo Huertas, PG,Houston Rockets,1500000
Jarell Martin, PF,Memphis Grizzlies,1471382
Mario Chalmers, PG,Memphis Grizzlies,1471382
Briante Weber, PG,Charlotte Hornets,1471382
Tyus Jones, PG,Minnesota Timberwolves,1471382
Rakeem Christmas, PF,Indiana Pacers,1471382
Josh Richardson, SG,Miami Heat,1471382
Pat Connaughton, SG,Portland Trail Blazers,1471382
Jordan Mickey, PF,Boston Celtics,1471382
Caleb Swanigan, PF,Portland Trail Blazers,1465920
Furkan Korkmaz, SG,Philadelphia 76ers,1465920
Jordan Adams, SG,Memphis Grizzlies,1465080
Willy Hernangomez, C,New York Knicks,1435750
Kyle Kuzma, PF,Los Angeles Lakers,1423560
Tony Bradley, C,Utah Jazz,1414920
Derrick White, PG,San Antonio Spurs,1404600
Josh Hart, SG,Los Angeles Lakers,1394520
Timothe Luwawu-Cabarrot, SG,Philadelphia 76ers,1386600
Demetrius Jackson, G,Boston Celtics,1384750
Guillermo Hernangomez, C,New York Knicks,1350000
Sasha Kaun, C,Philadelphia 76ers,1333240
Brice Johnson, F,LA Clippers,1331160
Andrew Harrison, PG,Memphis Grizzlies,1312611
Wayne Selden, G,Memphis Grizzlies,1312611
Deyonta Davis, F,Memphis Grizzlies,1312611
Fred VanVleet, PG,Toronto Raptors,1312611
Treveon Graham, SG,Charlotte Hornets,1312611
Dejounte Murray, G,San Antonio Spurs,1312611
Bryn Forbes, SG,San Antonio Spurs,1312611
Jake Layman, F,Portland Trail Blazers,1312611
Chasson Randle, PG,New York Knicks,1312611
Marshall Plumlee, C,New York Knicks,1312611
Diamond Stone, C,Atlanta Hawks,1312611
Semi Ojeleye, PF,Boston Celtics,1291892
Jeremy Evans, SF,Indiana Pacers,1227286
CJ Wilcox, SG,Orlando Magic,1209600
Livio Jean-Charles, SF,San Antonio Spurs,1188840
Frank Mason III, PG,Sacramento Kings,1184385
Abdel Nader, SF,Boston Celtics,1167333
Tony Wroten, SG,Memphis Grizzlies,1050961
Chris Johnson, SF,Utah Jazz,1050961
John Jenkins, SG,Phoenix Suns,1050961
Andrew Goudelock, PG,Houston Rockets,1015696
Anthony Bennett, PF,Brooklyn Nets,1015696
Lorenzo Brown, PG,Detroit Pistons,1015696
Isaiah Canaan, PG,Chicago Bulls,1015696
JaKarr Sampson, SG,Memphis Grizzlies,980431
Pablo Prigioni, PG,Houston Rockets,980431
Marcus Thornton, SG,Brooklyn Nets,980431
Devyn Marble, SF,LA Clippers,980431
Henry Sims, C,Utah Jazz,980431
John Lucas III, PG,Minnesota Timberwolves,980431
Rasual Butler, SF,Minnesota Timberwolves,980431
Jordan Farmar, PG,Sacramento Kings,980431
Greg Stiemsma, C,Portland Trail Blazers,980431
Lou Amundson, PF,New York Knicks,980431
Robbie Hummel, SF,Denver Nuggets,980431
Will Bynum, PG,Atlanta Hawks,980431
Rade Zagorac, SG,Memphis Grizzlies,950000
Ike Anigbogu, C,Indiana Pacers,950000
Reggie Williams, SF,New Orleans Pelicans,895197
D.J. Stephens, SG,Memphis Grizzlies,874636
D.J. Kennedy, SG,Memphis Grizzlies,874636
Cliff Alexander, PF,Orlando Magic,874636
Nick Johnson, SG,Orlando Magic,874636
Kevin Murphy, SG,Orlando Magic,874636
Casper Ware, PG,Washington Wizards,874636
J.J. O'Brien, SF,Milwaukee Bucks,874636
Aaron Harrison, SG,Charlotte Hornets,874636
Christian Wood, PF,Charlotte Hornets,874636
Duje Dukan, PF,Sacramento Kings,874636
Grant Jerrett, PF,Portland Trail Blazers,874636
Travis Wear, SF,Los Angeles Lakers,874636
John Holland, SG,Cleveland Cavaliers,874636
R.J. Hunter, SG,Chicago Bulls,864346
Cameron Oliver, PF,Houston Rockets,815615
Zhou Qi, PF,Houston Rockets,815615
Sterling Brown, G,Milwaukee Bucks,815615
Dwayne Bacon, SG,Charlotte Hornets,815615
Brandon Paul, SG,San Antonio Spurs,815615
Davon Reed, SG,Phoenix Suns,815615
Maximilian Kleber, F,Dallas Mavericks,815615
Daniel Theis, PF,Boston Celtics,815615
Tyler Dorsey, SG,Atlanta Hawks,815615
Matt Costello, SF,San Antonio Spurs,543471
Vince Hunter, SF,Memphis Grizzlies,543471
Scott Wood, SG,Golden State Warriors,543471
Egidijus Mockevicius, PF,Brooklyn Nets,543471
Rasheed Sulaimon, G,Charlotte Hornets,543471
Andrew Andrews, G,Charlotte Hornets,543471
E.J. Singler, SF,Toronto Raptors,543471
Drew Crawford, SG,Toronto Raptors,543471
Isaiah Cousins, PG,Sacramento Kings,543471
Julian Jacobs, PG,Los Angeles Lakers,543471
J.P. Tokoto, SG,New York Knicks,543471
Maurice Ndour, SF,New York Knicks,543471
Thomas Walkup, SG,Chicago Bulls,543471
Jalen Jones, SF,Boston Celtics,543471
Richard Solomon, PF,Atlanta Hawks,543471
Jonathan Gibson, PG,Dallas Mavericks,469943
Toney Douglas, PG,Memphis Grizzlies,379159
Lamar Patterson, SG,Atlanta Hawks,246956
Andrew Bogut, C,Cleveland Cavaliers,242224
Larry Sanders, PF,Cleveland Cavaliers,207722
Ray McCallum, PG,Charlotte Hornets,121112
Manny Harris, PG,Dallas Mavericks,115344
Mike Tobey, C,Charlotte Hornets,67135
Anthony Brown, SF,Orlando Magic,57672
Justin Harper, PF,Philadelphia 76ers,57672
Jarell Eddie, SG,Phoenix Suns,57672
Alonzo Gee, SF,Denver Nuggets,57672
Jarrett Jack, PG,New Orleans Pelicans,57672
Pierre Jackson,PG,Dallas Mavericks,31969
Kevin Durant,SF,Golden State Warriors,26500000
James Harden,PG,Houston Rockets,26500000
Russell Westbrook,PG,Oklahoma City Thunder,26500000
